"country_name,Customer,Energy_Classificatory,Year,Energy_Consumption"
"Italy,Energy,Biofuels,2011,NA"
"Italy,Energy,Biofuels,2012,NA"
"Italy,Energy,Biofuels,2013,NA"
"Italy,Energy,Biofuels,2014,NA"
"Italy,Energy,Biofuels,2015,NA"
"Italy,Energy,Biofuels,2016,NA"
"Italy,Energy,Biofuels,2017,NA"
"Italy,Energy,Biofuels,2018,NA"
"Italy,Energy,Biofuels,2019,NA"
"Italy,Energy,Biofuels,2020,NA"
"Italy,Energy,Biofuels,2021,0"
"Italy,Energy,Biofuels,2022,13.045"
"Italy,Energy,Biofuels,2023,0.604"
"Cyprus,Energy,Biofuels,2004,NA"
"Cyprus,Energy,Biofuels,2005,0"
"Cyprus,Energy,Biofuels,2006,0"
"Cyprus,Energy,Biofuels,2007,0"
"Cyprus,Energy,Biofuels,2008,0"
"Cyprus,Energy,Biofuels,2009,0"
"Cyprus,Energy,Biofuels,2010,0"
"Cyprus,Energy,Biofuels,2011,0"
"Cyprus,Energy,Biofuels,2012,0"
"Cyprus,Energy,Biofuels,2013,0"
"Cyprus,Energy,Biofuels,2014,0"
"Cyprus,Energy,Biofuels,2015,0"
"Cyprus,Energy,Biofuels,2016,0"
"Cyprus,Energy,Biofuels,2017,0"
"Cyprus,Energy,Biofuels,2018,0"
"Cyprus,Energy,Biofuels,2019,0"
"Cyprus,Energy,Biofuels,2020,0"
"Cyprus,Energy,Biofuels,2021,0"
"Cyprus,Energy,Biofuels,2022,0"
"Cyprus,Energy,Biofuels,2023,0"
"Latvia,Energy,Biofuels,2004,NA"
"Latvia,Energy,Biofuels,2005,NA"
"Latvia,Energy,Biofuels,2006,NA"
"Latvia,Energy,Biofuels,2007,NA"
"Latvia,Energy,Biofuels,2008,NA"
"Latvia,Energy,Biofuels,2009,NA"
"Latvia,Energy,Biofuels,2010,NA"
"Latvia,Energy,Biofuels,2011,NA"
"Latvia,Energy,Biofuels,2012,NA"
"Latvia,Energy,Biofuels,2013,NA"
"Latvia,Energy,Biofuels,2014,NA"
"Latvia,Energy,Biofuels,2015,NA"
"Latvia,Energy,Biofuels,2016,NA"
"Latvia,Energy,Biofuels,2017,NA"
"Latvia,Energy,Biofuels,2018,NA"
"Latvia,Energy,Biofuels,2019,0"
"Latvia,Energy,Biofuels,2020,0"
"Latvia,Energy,Biofuels,2021,0"
"Latvia,Energy,Biofuels,2022,0"
"Latvia,Energy,Biofuels,2023,0"
"Lithuania,Energy,Biofuels,2004,NA"
"Lithuania,Energy,Biofuels,2005,NA"
"Lithuania,Energy,Biofuels,2006,NA"
"Lithuania,Energy,Biofuels,2007,NA"
"Lithuania,Energy,Biofuels,2008,NA"
"Lithuania,Energy,Biofuels,2009,NA"
"Lithuania,Energy,Biofuels,2010,NA"
"Lithuania,Energy,Biofuels,2011,NA"
"Lithuania,Energy,Biofuels,2012,0"
"Lithuania,Energy,Biofuels,2013,0"
"Lithuania,Energy,Biofuels,2014,0"
"Lithuania,Energy,Biofuels,2015,0"
"Lithuania,Energy,Biofuels,2016,0"
"Lithuania,Energy,Biofuels,2017,0"
"Lithuania,Energy,Biofuels,2018,0"
"Lithuania,Energy,Biofuels,2019,0"
"Lithuania,Energy,Biofuels,2020,0"
"Lithuania,Energy,Biofuels,2021,0"
"Lithuania,Energy,Biofuels,2022,0"
"Lithuania,Energy,Biofuels,2023,0"
"Luxembourg,Energy,Biofuels,2004,NA"
"Luxembourg,Energy,Biofuels,2005,NA"
"Luxembourg,Energy,Biofuels,2006,NA"
"Luxembourg,Energy,Biofuels,2007,NA"
"Luxembourg,Energy,Biofuels,2008,NA"
"Luxembourg,Energy,Biofuels,2009,NA"
"Luxembourg,Energy,Biofuels,2010,NA"
"Luxembourg,Energy,Biofuels,2011,NA"
"Luxembourg,Energy,Biofuels,2012,NA"
"Luxembourg,Energy,Biofuels,2013,NA"
"Luxembourg,Energy,Biofuels,2014,NA"
"Luxembourg,Energy,Biofuels,2015,NA"
"Luxembourg,Energy,Biofuels,2016,NA"
"Luxembourg,Energy,Biofuels,2017,NA"
"Luxembourg,Energy,Biofuels,2018,NA"
"Luxembourg,Energy,Biofuels,2019,NA"
"Luxembourg,Energy,Biofuels,2020,NA"
"Luxembourg,Energy,Biofuels,2021,0"
"Luxembourg,Energy,Biofuels,2022,0"
"Luxembourg,Energy,Biofuels,2023,0"
"Hungary,Energy,Biofuels,2004,NA"
